2021-03-19 16:14:01,063 INFO    : 在MainPage页面
2021-03-19 16:14:01,114 INFO    : 准备进行goto_contact操作
2021-03-19 16:14:01,117 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:14:01,118 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:14:01,119 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-19 16:14:01,220 INFO    : 在MainPage页面
2021-03-19 16:14:01,228 INFO    : 准备进行goto_contact操作
2021-03-19 16:14:01,231 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:14:01,231 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:14:01,232 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-19 16:16:12,198 INFO    : 在MainPage页面
2021-03-19 16:16:12,263 INFO    : 准备进行goto_contact操作
2021-03-19 16:16:12,267 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:16:12,268 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:16:12,270 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-19 16:16:12,361 INFO    : 在MainPage页面
2021-03-19 16:16:12,370 INFO    : 准备进行goto_contact操作
2021-03-19 16:16:12,373 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:16:12,374 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:16:12,375 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-19 16:18:28,262 INFO    : 在MainPage页面
2021-03-19 16:18:28,308 INFO    : 准备进行goto_contact操作
2021-03-19 16:18:28,310 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:18:28,311 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:18:28,312 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-19 16:18:31,327 INFO    : 在ContactPage页面
2021-03-19 16:18:31,360 INFO    : 准备进行add_member操作
2021-03-19 16:18:31,379 INFO    : 获取到add_member操作的元素数据：[{'locator': '添加成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@text="手动输入添加"]'], 'action': 'find'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]'], 'action': 'send', 'content': '${name}'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]'], 'action': 'send', 'content': '${phone}'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]'], 'action': 'find'}, {'locator': ['xpath', '//*[@text="添加成功"]'], 'action': 'find'}]
2021-03-19 16:18:31,381 INFO    : add_member操作变量替换后的数据：[{'locator': '添加成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@text="手动输入添加"]'], 'action': 'find'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]'], 'action': 'send', 'content': 'aaa_1897'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]'], 'action': 'send', 'content': '13000001897'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]'], 'action': 'find'}, {'locator': ['xpath', '//*[@text="添加成功"]'], 'action': 'find'}]
2021-03-19 16:18:31,382 INFO    : 对添加成员进行滑动查找操作
2021-03-19 16:18:39,751 INFO    : 在MainPage页面
2021-03-19 16:18:39,771 INFO    : 准备进行goto_contact操作
2021-03-19 16:18:39,771 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:18:39,771 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'click'}]
2021-03-19 16:18:39,782 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-19 16:26:07,841 INFO    : 在MainPage页面
2021-03-19 16:26:07,891 INFO    : 准备进行goto_contact操作
