2021-03-20 19:28:44,481 INFO    : 获取到add_member操作的元素数据：[{'locator': '添加成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@text="手动输入添加"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]'], 'action': 'send', 'value': '${name}'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]'], 'action': 'send', 'value': '${phone}'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@text="添加成功"]'], 'action': 'find'}]
2021-03-20 19:28:44,482 INFO    : add_member操作变量替换后的数据：[{'locator': '添加成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@text="手动输入添加"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]'], 'action': 'send', 'value': 'aaa_9705'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]'], 'action': 'send', 'value': '13000009705'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@text="添加成功"]'], 'action': 'find'}]
2021-03-20 19:28:44,483 INFO    : 对添加成员进行滑动查找操作
2021-03-20 19:28:53,267 INFO    : 对['xpath', '//*[@text="手动输入添加"]']进行点击操作。
2021-03-20 19:28:54,650 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]']输入值aaa_9705。
2021-03-20 19:28:56,125 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]']输入值13000009705。
2021-03-20 19:28:57,203 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]']进行点击操作。
2021-03-20 19:28:57,776 INFO    : 对['xpath', '//*[@text="添加成功"]']进行查找操作。
2021-03-20 19:28:59,915 INFO    : 在ContactPage页面
2021-03-20 19:28:59,925 INFO    : 准备进行find_member操作
2021-03-20 19:28:59,934 INFO    : 获取到find_member操作的元素数据：[{'locator': '${name}', 'action': 'scroll_find'}]
2021-03-20 19:28:59,935 INFO    : find_member操作变量替换后的数据：[{'locator': 'aaa_9705', 'action': 'scroll_find'}]
2021-03-20 19:28:59,935 INFO    : 对aaa_9705进行滑动查找操作
2021-03-20 19:29:14,327 INFO    : 在MainPage页面
2021-03-20 19:29:14,350 INFO    : 准备进行goto_contact操作
2021-03-20 19:29:14,356 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'find_click'}]
2021-03-20 19:29:14,360 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'find_click'}]
2021-03-20 19:29:14,364 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-20 19:29:15,284 INFO    : 在ContactPage页面
2021-03-20 19:29:15,312 INFO    : 准备进行del_member操作
2021-03-20 19:29:15,331 INFO    : 获取到del_member操作的元素数据：[{'locator': '${name}', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/igo"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[contains(@text, "编辑成员")]'], 'action': 'find_click'}, {'locator': '删除成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/bpc"]'], 'action': 'find_click'}]
2021-03-20 19:29:15,333 INFO    : del_member操作变量替换后的数据：[{'locator': 'aaa_9705', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/igo"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[contains(@text, "编辑成员")]'], 'action': 'find_click'}, {'locator': '删除成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/bpc"]'], 'action': 'find_click'}]
2021-03-20 19:29:15,335 INFO    : 对aaa_9705进行滑动查找操作
2021-03-20 19:29:15,745 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/igo"]']进行点击操作。
2021-03-20 19:29:16,853 INFO    : 对['xpath', '//*[contains(@text, "编辑成员")]']进行点击操作。
2021-03-20 19:29:17,866 INFO    : 对删除成员进行滑动查找操作
2021-03-20 19:29:19,678 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/bpc"]']进行点击操作。
